,Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,image,url
452,453,Stay,Zedd,complextro,2017,102,62,69,-5,12,54,210,25,6,80,https://i.scdn.co/image/ab67616d0000b273e24cbbd5cef05ca77ec67df6,https://p.scdn.co/mp3-preview/5c7225da330ae6a5db3e9637904da1af8ea833db?cid=4730b02bd7f84c22bb7993aaa4620292
453,454,It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,79,https://i.scdn.co/image/ab67616d0000b2730a902e905861b1bc9778da4f,https://p.scdn.co/mp3-preview/60de16a0abdb97c7f113aff2300c76750fa3b49e?cid=4730b02bd7f84c22bb7993aaa4620292
454,455,Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8,34,232,8,6,78,https://i.scdn.co/image/ab67616d0000b2738d9983e71cc56ac50a8c9486,https://p.scdn.co/mp3-preview/1041a9b794469993a8b5eb8bdcb1deda07af1b79?cid=4730b02bd7f84c22bb7993aaa4620292
455,456,Something Just Like This,The Chainsmokers,electropop,2017,103,65,61,-7,17,51,248,3,4,78,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,https://p.scdn.co/mp3-preview/4e117abe76700eb13e9e0557fa2d9c44b565b9da?cid=4730b02bd7f84c22bb7993aaa4620292
456,457,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,72,-4,18,74,251,41,5,78,https://i.scdn.co/image/ab67616d0000b2731431c3bdf16aa99f71799d95,https://p.scdn.co/mp3-preview/e2ffc646cf90e4e5b71e277394e093c3fbe49357?cid=4730b02bd7f84c22bb7993aaa4620292
457,458,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,dance pop,2017,118,45,74,-8,33,9,245,6,6,78,https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918,https://p.scdn.co/mp3-preview/b9f827f4eb59882045c2ce40c453b6b87a776ffc?cid=4730b02bd7f84c22bb7993aaa4620292
458,459,My Way,Calvin Harris,dance pop,2017,120,91,82,-3,16,54,219,9,4,78,https://i.scdn.co/image/ab67616d0000b2734a31b146c7cf07705d912efe,https://p.scdn.co/mp3-preview/90baf07aa0840c7e0d745f656d38442987f253fe?cid=4730b02bd7f84c22bb7993aaa4620292
459,460,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,61,-4,17,81,289,6,4,77,https://i.scdn.co/image/ab67616d0000b2737b219c19829e83a86cc9786c,https://p.scdn.co/mp3-preview/7717bea6eb9811ecd0548ccf5c0ccd215d870ad5?cid=4730b02bd7f84c22bb7993aaa4620292
460,461,Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,77,https://i.scdn.co/image/ab67616d0000b27355de63b8aaf464fe8146b4f1,https://p.scdn.co/mp3-preview/a07409c290a938a1be85901d4579d0a3095b51c1?cid=4730b02bd7f84c22bb7993aaa4620292
461,462,Despacito - Remix,Luis Fonsi,latin,2017,178,82,65,-4,10,82,229,23,17,76,https://i.scdn.co/image/ab67616d0000b273a6a335d613d151c626895a83,https://p.scdn.co/mp3-preview/c590292029e985515f7063e8d5d291d677694eb9?cid=4730b02bd7f84c22bb7993aaa4620292
462,463,The Greatest,Sia,australian dance,2017,192,73,67,-6,6,73,210,1,27,76,https://i.scdn.co/image/ab67616d0000b273759e4cc8e664b1d9e5c259cb,https://p.scdn.co/mp3-preview/16ee0b98712d5fc5a029535da905b4ea5cf5a20f?cid=4730b02bd7f84c22bb7993aaa4620292
463,464,There for You,Martin Garrix,big room,2017,106,64,61,-8,12,13,222,12,6,76,https://i.scdn.co/image/ab67616d0000b27372c57da7edfe8e915182cdd4,https://p.scdn.co/mp3-preview/700c66cc14263266ba9dc8a6e497215c934abbac?cid=4730b02bd7f84c22bb7993aaa4620292
464,465,Paris,The Chainsmokers,electropop,2017,100,64,65,-7,9,25,222,2,3,76,https://i.scdn.co/image/ab67616d0000b273eede8ca62134dd7bdecb6085,https://p.scdn.co/mp3-preview/22c716ae280fb6f5a76c29c1aeb67c6101b3641e?cid=4730b02bd7f84c22bb7993aaa4620292
465,466,Crying in the Club,Camila Cabello,dance pop,2017,85,62,33,-6,16,60,216,33,38,75,https://i.scdn.co/image/ab67616d0000b273cec62b81146fe4d116fbb2fa,https://p.scdn.co/mp3-preview/4700b5219093f6a4f5e4dc36b97ff60298996ff8?cid=4730b02bd7f84c22bb7993aaa4620292
466,467,Mama,Jonas Blue,dance pop,2017,104,79,74,-4,5,57,184,10,4,75,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,https://p.scdn.co/mp3-preview/6e248d8a9e32f33f6f78d0d1ccfca12c096c063a?cid=4730b02bd7f84c22bb7993aaa4620292
467,468,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,75,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,https://p.scdn.co/mp3-preview/16f9a0b74ce7aa75cfcfcd2bd928cda87ba11045?cid=4730b02bd7f84c22bb7993aaa4620292
468,469,Swish Swish,Katy Perry,dance pop,2017,120,71,84,-5,10,57,243,2,4,73,https://i.scdn.co/image/ab67616d0000b273cce6bab1f59b165133175d88,https://p.scdn.co/mp3-preview/d011347ff49a4ce24eb069975f20c9f73fd67f02?cid=4730b02bd7f84c22bb7993aaa4620292
469,470,Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,45,-5,20,47,238,8,17,72,https://i.scdn.co/image/ab67616d0000b27349746bd7b67ce09a5fc6d6d7,https://p.scdn.co/mp3-preview/90522cc443f87393345f15043942ea291cbbfe7d?cid=4730b02bd7f84c22bb7993aaa4620292
470,471,Cold (feat. Future),Maroon 5,pop,2017,100,72,69,-6,5,41,234,14,11,72,https://i.scdn.co/image/ab67616d0000b273fc4852898bc6ed85b3e3f89c,https://p.scdn.co/mp3-preview/265180293ac14e34916cb7226f829dadbf80414c?cid=4730b02bd7f84c22bb7993aaa4620292
471,472,Love,Lana Del Rey,art pop,2017,99,37,53,-11,11,23,273,49,3,72,https://i.scdn.co/image/ab67616d0000b273e1bc1af856b42dd7fdba9f84,https://p.scdn.co/mp3-preview/922a42db5aa8f8d335725697b7d7a12af6808f3a?cid=4730b02bd7f84c22bb7993aaa4620292
472,473,Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,53,-3,10,62,189,15,9,71,https://i.scdn.co/image/ab67616d0000b2738aa4f3ab66823042785b7f17,https://p.scdn.co/mp3-preview/940748102714ca782cc00715c53aaf353a5f71c2?cid=4730b02bd7f84c22bb7993aaa4620292
473,474,All I Ask,Adele,british soul,2017,142,28,59,-5,15,34,272,88,3,71,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2,https://p.scdn.co/mp3-preview/7f9fc461d85095d621f1bffb033a15b7f8d24eb6?cid=4730b02bd7f84c22bb7993aaa4620292
474,475,First Time,Kygo,edm,2017,90,59,63,-7,10,68,194,20,11,71,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://p.scdn.co/mp3-preview/724ce68ab4107adea3d0cff67dbc4fec8542313c?cid=4730b02bd7f84c22bb7993aaa4620292
475,476,The Cure,Lady Gaga,dance pop,2017,100,51,70,-5,9,52,211,8,3,71,https://i.scdn.co/image/ab67616d0000b27331cc5716a5c922b0482787b7,https://p.scdn.co/mp3-preview/31c7276289ba61990ad4c5d3c4719a0a2d26ad7c?cid=4730b02bd7f84c22bb7993aaa4620292
476,477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181,54,31,-10,7,16,176,16,35,71,https://i.scdn.co/image/ab67616d0000b2735773ab23d8c02979107d8879,https://p.scdn.co/mp3-preview/508d0f1c1f01568ad26ac0ad6d75e33758bb3e25?cid=4730b02bd7f84c22bb7993aaa4620292
477,478,Bodak Yellow,Cardi B,pop,2017,125,72,93,-6,35,46,224,7,11,70,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,https://p.scdn.co/mp3-preview/44c4f56214e6ee44dfc30311e124dfd3ca39f499?cid=4730b02bd7f84c22bb7993aaa4620292
478,479,Rich Love (with Seeb),OneRepublic,dance pop,2017,105,87,40,-4,36,47,201,17,31,70,https://i.scdn.co/image/ab67616d0000b2734f5e1977bd05425f3ea1a2bf,https://p.scdn.co/mp3-preview/27885cc182dd4d5e5261baa4540507a22fa32a64?cid=4730b02bd7f84c22bb7993aaa4620292
479,480,Tired,Alan Walker,electro house,2017,124,88,69,-4,15,49,192,4,6,70,https://i.scdn.co/image/ab67616d0000b273fe11583497b2a332995b88ed,https://p.scdn.co/mp3-preview/e6b03ecee7d3883bc1b1a8a907d6d930b0a331c6?cid=4730b02bd7f84c22bb7993aaa4620292
480,481,Came Here for Love,Sigala,dance pop,2017,125,87,71,-3,12,72,203,3,4,70,https://i.scdn.co/image/ab67616d0000b2733769e2973131468513fc59cd,https://p.scdn.co/mp3-preview/515bee5cac5a597c17207bd40e1bd9912071f90b?cid=4730b02bd7f84c22bb7993aaa4620292
481,482,24K Magic,Bruno Mars,pop,2017,107,80,82,-4,15,63,226,3,8,69,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,https://p.scdn.co/mp3-preview/3a76820d510fa5f84abb413e9d13815bcc86da0f?cid=4730b02bd7f84c22bb7993aaa4620292
482,483,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,87,-5,8,55,202,20,5,69,https://i.scdn.co/image/ab67616d0000b273373a46efca570f83dd78313f,https://p.scdn.co/mp3-preview/4b1ba75b9456797946d8c89556204bd4719a86bf?cid=4730b02bd7f84c22bb7993aaa4620292
483,484,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,71,-3,30,65,208,1,6,69,https://i.scdn.co/image/ab67616d0000b273ef531a2218e0274cb4f67896,https://p.scdn.co/mp3-preview/ecc6383aac4b3f4240ae699324573e61c39e6aaf?cid=4730b02bd7f84c22bb7993aaa4620292
484,485,OK - Spotify Version,Robin Schulz,dance pop,2017,122,81,65,-6,13,58,189,12,6,69,https://i.scdn.co/image/ab67616d0000b273e48ed2dc88c23ace8616559e,https://p.scdn.co/mp3-preview/b7f2b932a406d1e8a3c1a19dba49cfd49e11b410?cid=4730b02bd7f84c22bb7993aaa4620292
485,486,Bon appétit,Katy Perry,dance pop,2017,106,79,80,-6,22,52,228,13,6,68,https://i.scdn.co/image/ab67616d0000b273cce6bab1f59b165133175d88,https://p.scdn.co/mp3-preview/a3906ba71f87aff18b3c0efbdb7b281179b37956?cid=4730b02bd7f84c22bb7993aaa4620292
486,487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,76,-9,20,14,261,2,13,67,https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190,https://p.scdn.co/mp3-preview/aeb292c9f842e92d5512be538384772cce507b43?cid=4730b02bd7f84c22bb7993aaa4620292
487,488,Get Low (with Liam Payne),Zedd,complextro,2017,108,93,72,-4,5,54,205,3,5,66,https://i.scdn.co/image/ab67616d0000b273a063e8f03c22f5dd4234d6eb,https://p.scdn.co/mp3-preview/1ea3334af2e1689b36dabe648185e411425ff0d7?cid=4730b02bd7f84c22bb7993aaa4620292
488,489,Kissing Strangers,DNCE,dance pop,2017,120,74,77,-6,9,86,202,5,4,66,https://i.scdn.co/image/ab67616d0000b273267dcf5d3daf0fd7cfca3114,https://p.scdn.co/mp3-preview/273fbf3d60da4d748c1401355e36c84315ee4f74?cid=4730b02bd7f84c22bb7993aaa4620292
489,490,Slow Hands,Niall Horan,dance pop,2017,86,42,74,-7,6,85,188,1,5,64,https://i.scdn.co/image/ab67616d0000b2735bac234d5511248b248caf36,https://p.scdn.co/mp3-preview/f47a9e84206ed56916d5cb4e2b583fc467c8c855?cid=4730b02bd7f84c22bb7993aaa4620292
490,491,Younger Now,Miley Cyrus,dance pop,2017,122,87,55,-5,14,33,249,0,6,62,https://i.scdn.co/image/ab67616d0000b2739012e092ad8ed4731ea11134,https://p.scdn.co/mp3-preview/f57f4868d927c563a23c1eacaa38634ccc6be4cd?cid=4730b02bd7f84c22bb7993aaa4620292
491,492,Body Moves,DNCE,dance pop,2017,102,69,65,-5,4,86,236,0,4,62,https://i.scdn.co/image/ab67616d0000b2738d0a75346badc30c8b845be9,https://p.scdn.co/mp3-preview/5ffd55e639805374ded6f5bdb8b09da9fe575bba?cid=4730b02bd7f84c22bb7993aaa4620292
492,493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,73,-7,8,53,158,2,4,59,https://i.scdn.co/image/ab67616d0000b273509a6f6e25544687edcf7740,https://p.scdn.co/mp3-preview/8c45dca40329f8f0c046435cc609418a8a55a00c?cid=4730b02bd7f84c22bb7993aaa4620292
493,494,Angel,Fifth Harmony,dance pop,2017,124,53,74,-6,35,13,189,0,4,59,https://i.scdn.co/image/ab67616d0000b2739449f9491c364d28a9668e17,https://p.scdn.co/mp3-preview/1a1bf23df980b532eb5e845dbabb89f7ef3160d5?cid=4730b02bd7f84c22bb7993aaa4620292
494,495,Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,64,-4,49,53,203,4,11,59,https://i.scdn.co/image/ab67616d0000b2733042c53026e29faf3a21c9f9,https://p.scdn.co/mp3-preview/c4b4e28976041582a6d3e5bede8873ff07852a82?cid=4730b02bd7f84c22bb7993aaa4620292
495,496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,70,-5,45,67,218,49,22,59,https://i.scdn.co/image/ab67616d0000b273361cda878af9f705bf7c55d1,https://p.scdn.co/mp3-preview/aa1385c373761fe95076148cab19493f33a760ca?cid=4730b02bd7f84c22bb7993aaa4620292
496,497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,37,-9,20,21,180,6,12,59,https://i.scdn.co/image/ab67616d0000b273747de7362e80274878719786,https://p.scdn.co/mp3-preview/8c89b6b50a37b84d01104435b7d17b17c6b35b21?cid=4730b02bd7f84c22bb7993aaa4620292
497,498,No Vacancy (with Sebastián Yatra),OneRepublic,dance pop,2017,100,76,69,-4,14,59,223,8,4,57,https://i.scdn.co/image/ab67616d0000b273edf220672754f6925906ff62,https://p.scdn.co/mp3-preview/74616c082333eb9dd26089ad09a9f0676270f880?cid=4730b02bd7f84c22bb7993aaa4620292
498,499,Rich Boy,Galantis,big room,2017,110,90,74,-2,8,65,184,7,5,55,https://i.scdn.co/image/ab67616d0000b2730c5b0b80fa8f564ddd3328c3,https://p.scdn.co/mp3-preview/3af2740dce945ef640b85d93620b780662a902c7?cid=4730b02bd7f84c22bb7993aaa4620292
499,500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,51,-9,36,27,264,58,6,54,https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190,https://p.scdn.co/mp3-preview/9769a2606db7ff3280d9e976afe4cba6292fd09c?cid=4730b02bd7f84c22bb7993aaa4620292
500,501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115,83,70,-6,36,63,245,28,27,54,https://i.scdn.co/image/ab67616d0000b273079cdee961dd5d655a9badce,https://p.scdn.co/mp3-preview/0ed4bec9616c4d6fcd1e43dcb7d573dc278b801f?cid=4730b02bd7f84c22bb7993aaa4620292
501,502,Influence,Tove Lo,dance pop,2017,105,59,77,-10,11,33,225,10,5,54,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,https://p.scdn.co/mp3-preview/52295df71df20e33e1510e3983975cd59f6664a4?cid=4730b02bd7f84c22bb7993aaa4620292
502,503,Remember I Told You,Nick Jonas,dance pop,2017,113,53,68,-6,4,84,202,14,28,53,https://i.scdn.co/image/ab67616d0000b27329bea836ec923402eaa853e0,https://p.scdn.co/mp3-preview/72f9e2c5b03956acec4e82fc0c127726b9db8c8d?cid=4730b02bd7f84c22bb7993aaa4620292
503,504,Messin' Around,Pitbull,dance pop,2017,158,81,57,-5,4,78,223,2,5,51,https://i.scdn.co/image/ab67616d0000b2734441e6a55d6ccff4aae47d5a,https://p.scdn.co/mp3-preview/da1247faaf6b0ed0f8a4947e657b6c868e026817?cid=4730b02bd7f84c22bb7993aaa4620292
504,505,Water Under the Bridge,Adele,british soul,2017,95,84,60,-7,11,47,240,2,7,49,https://i.scdn.co/image/ab67616d0000b273a27cce37348aee4ee3e8152d,https://p.scdn.co/mp3-preview/bb81aaf96c690e36a361cd852dead234d0a14fd0?cid=4730b02bd7f84c22bb7993aaa4620292
505,506,Free Me,Sia,australian dance,2017,87,46,27,-4,14,21,286,85,3,44,https://i.scdn.co/image/ab67616d0000b273e0ca797a41065c9201346478,https://p.scdn.co/mp3-preview/1e13a432d522b55b4f15fb2a215ce8fb8684f464?cid=4730b02bd7f84c22bb7993aaa4620292
506,507,Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,76,-6,8,81,202,8,5,43,https://i.scdn.co/image/ab67616d0000b273eb49dfb07de21564f56b194f,https://p.scdn.co/mp3-preview/f894271805b17d640ee9957b0ed3aa771686911a?cid=4730b02bd7f84c22bb7993aaa4620292
507,508,A L I E N S,Coldplay,permanent wave,2017,148,88,43,-5,21,25,282,0,4,41,https://i.scdn.co/image/ab67616d0000b273e7da341ab1f16253e0d5f70e,https://p.scdn.co/mp3-preview/fd48e078a652bcf5e7551af3da1b4d9f11457c25?cid=4730b02bd7f84c22bb7993aaa4620292
508,509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,https://p.scdn.co/mp3-preview/0c09da1fe6f1da091c05057835e6be2312e2dc18?cid=4730b02bd7f84c22bb7993aaa4620292
